ID,Name,Sex,Height,Weight
1,A Dijiang,M,180,80
2,A Lamusi,M,170,60
3,Gunnar Nielsen Aaby,M,,
4,Edgar Lindenau Aabye,M,,
5,Christine Jacoba Aaftink,F,185,82
5,Christine Jacoba Aaftink,F,185,82
5,Christine Jacoba Aaftink,F,185,82
5,Christine Jacoba Aaftink,F,185,82
5,Christine Jacoba Aaftink,F,185,82
5,Christine Jacoba Aaftink,F,185,82
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
6,Per Knut Aaland,M,188,75
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
7,John Aalberg,M,183,72
8,Cornelia Cor Aalten (-Strannood),F,168,
8,Cornelia Cor Aalten (-Strannood),F,168,
9,Antti Sami Aalto,M,186,96
10,Einar Ferdinand Einari Aalto,M,,
11,Jorma Ilmari Aalto,M,182,76.5
12,Jyri Tapani Aalto,M,172,70
14,Pirjo Hannele Aalto (Mattila-),F,171,65
15,Arvo Ossian Aaltonen,M,,
15,Arvo Ossian Aaltonen,M,,
15,Arvo Ossian Aaltonen,M,,
15,Arvo Ossian Aaltonen,M,,
15,Arvo Ossian Aaltonen,M,,
16,Juhamatti Tapio Aaltonen,M,184,85
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
17,Paavo Johannes Aaltonen,M,175,64
18,Timo Antero Aaltonen,M,189,130
19,Win Valdemar Aaltonen,M,,
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
20,Kjetil Andr Aamodt,M,176,85
21,Ragnhild Margrethe Aamodt,F,163,
22,Andreea Aanei,F,170,125
23,Fritz Aanes,M,187,89
23,Fritz Aanes,M,187,89
24,Nils Egil Aaness,M,,
24,Nils Egil Aaness,M,,
24,Nils Egil Aaness,M,,
25,Alf Lied Aanning,M,,
26,Agnes Erika Aanonsen (-Eyde),F,169,65
27,Johan Aantjes,M,,
29,Willemien Aardenburg,F,,
30,Pepijn Aardewijn,M,189,72
30,Pepijn Aardewijn,M,189,72
31,Evald rma (rman-),M,174,70
32,Olav Augunson Aarnes,M,,
34,Jamale (Djamel-) Aarrass (Ahrass-),M,187,76
35,Dagfinn Sverre Aarskog,M,190,98
36,Stefan Remco Aartsen,M,194,78
36,Stefan Remco Aartsen,M,194,78
36,Stefan Remco Aartsen,M,194,78
36,Stefan Remco Aartsen,M,194,78
36,Stefan Remco Aartsen,M,194,78
37,Ann Kristin Aarnes,F,182,64
38,Karl Jan Aas,M,,
39,Lars Thorlaksn Aas,M,,
39,Lars Thorlaksn Aas,M,,
39,Lars Thorlaksn Aas,M,,
40,Roald Edgar Aas,M,,
40,Roald Edgar Aas,M,,
40,Roald Edgar Aas,M,,
40,Roald Edgar Aas,M,,
40,Roald Edgar Aas,M,,
40,Roald Edgar Aas,M,,
41,Rolf Aas,M,,
43,Morten Gjerdrum Aasen,M,185,75
44,Meelis Aasme,M,182,73
44,Meelis Aasme,M,182,73
44,Meelis Aasme,M,182,73
44,Meelis Aasme,M,182,73
44,Meelis Aasme,M,182,73
45,Hakon Aasns,M,,
46,Hans Aasns,M,194,93
46,Hans Aasns,M,194,93
46,Hans Aasns,M,194,93
46,Hans Aasns,M,194,93
46,Hans Aasns,M,194,93
47,Erling Rudolf Aastad,M,177,74
47,Erling Rudolf Aastad,M,177,74
47,Erling Rudolf Aastad,M,177,74
47,Erling Rudolf Aastad,M,177,74
48,Abdelhak Aatakni,M,,64
49,Moonika Aava,F,168,65
49,Moonika Aava,F,168,65
50,Arvi Aavik,M,185,106
50,Arvi Aavik,M,185,106
51,Nstor Abad Sanjun,M,167,64
51,Nstor Abad Sanjun,M,167,64
51,Nstor Abad Sanjun,M,167,64
51,Nstor Abad Sanjun,M,167,64
51,Nstor Abad Sanjun,M,167,64
51,Nstor Abad Sanjun,M,167,64
52,Patrick Abada,M,189,80
53,Talaat Abada,M,172,58
54,Mohamed Jamshid Abadi,M,,
55,Antonio Abadia Beci,M,170,65
56,Ren Abadie,M,,
56,Ren Abadie,M,,
57,Borislav Abadzhiev,M,176,66
58,Georgi Abadzhiev,M,,
58,Georgi Abadzhiev,M,,
59,Ivan Nikolov Abadzhiev,M,164,71
59,Ivan Nikolov Abadzhiev,M,164,71
60,Mikhail Abadzhiev,M,172,75
61,Stefan Abadzhiev,M,175,72
62,Giovanni Abagnale,M,198,90
63,Jos Luis Abajo Gmez,M,194,87
64,MBairo Abakar,M,,
65,Patimat Abakarova,F,165,49
66,Mohamed Abakkar,M,156,48
67,Mariya Vasilyevna Abakumova (-Tarabina),F,179,80
67,Mariya Vasilyevna Abakumova (-Tarabina),F,179,80
68,Pablo Martn Abal,M,178,76
68,Pablo Martn Abal,M,178,76
69,Tamara Abalde Daz,F,185,72
70,Jess Iory Aball Martnez,M,167,65
71,Juan Antonio Aball Delgado,M,172,82
71,Juan Antonio Aball Delgado,M,172,82
72,Aleksey Aleksandrovich Abalmasov,M,180,83
72,Aleksey Aleksandrovich Abalmasov,M,180,83
73,Luc Abalo,M,182,86
73,Luc Abalo,M,182,86
73,Luc Abalo,M,182,86
74,Mara Laura Abalo,F,182,73
75,Giorgos Abalof,M,178,70
76,Jouan Patrice Abanda Etong,M,185,82
77,Antoine Abang,M,166,75
78,Salim Abanoz,M,,
79,Carlos Abarca Gonzlez,M,,
80,Jos Mara Abarca Plotas,M,186,83
81,Georgios Abaris,M,190,77
82,Enrique Abaroa Martnez,M,183,75
83,Carlos Arturo Abarza Chavez,M,,
84,Stephen Anthony Abas,M,165,55
86,Jos Manuel Abascal Gmez,M,182,67
86,Jos Manuel Abascal Gmez,M,182,67
87,Rostom Omeris dze Abashidze,M,188,97
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,168,105
89,Rodrigo Abasolo,M,,
90,Tamila Rashidovna Abasova,F,163,60
90,Tamila Rashidovna Abasova,F,163,60
91,Emanuele Abate,M,190,80
92,Ignazio Abate,M,180,73
93,Jol Marc Abati,M,190,85
93,Jol Marc Abati,M,190,85
94,Ral Abatte,M,,
95,Georgia Abatzidou,F,155,43
96,Carlos Rodolfo Abaunza Balladares,M,168,60
97,Carlos Alberto Abaunza,M,180,70
98,Hctor Abaunza,M,169,75
98,Hctor Abaunza,M,169,75
98,Hctor Abaunza,M,169,75
99,Pter Abay,M,181,79
100,Oszkr Abay-Nemes,M,,
100,Oszkr Abay-Nemes,M,,
101,Adeyemi Abayomi,M,170,51
102,Sayed Fahmy Abaza,M,,
102,Sayed Fahmy Abaza,M,,
103,Silvano Abba,M,,
104,Gana Abba Kimet,M,,
105,Ilyas Abbadi,M,175,75
105,Ilyas Abbadi,M,175,75
106,Agostino Abbagnale,M,188,96
106,Agostino Abbagnale,M,188,96
106,Agostino Abbagnale,M,188,96
107,Carmine Abbagnale,M,182,90
107,Carmine Abbagnale,M,182,90
107,Carmine Abbagnale,M,182,90
107,Carmine Abbagnale,M,182,90
108,Giuseppe Abbagnale,M,187,97
108,Giuseppe Abbagnale,M,187,97
108,Giuseppe Abbagnale,M,187,97
108,Giuseppe Abbagnale,M,187,97
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,176,64
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,176,64
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,176,64
110,Abubakar Abbas Abbas,M,175,66
111,Aqarab Abbas,M,190,88
112,Aziz Abbas,M,169,67
113,Bassim Abbas Kati Al-Ogaili,M,175,80
114,Essa Abbas Faleh Hashem,M,160,65
115,Ghulam Abbas,M,181,74
116,Hosni Mohamed Abbas,M,,60
116,Hosni Mohamed Abbas,M,,60
117,Maher Abbas,M,178,78
117,Maher Abbas,M,178,78
118,Mahmoud Abbas,M,165,65
119,Mohamed Fakhry Rifaat Abbas,M,,
120,Mohammed Abbas Sabih,M,170,70
121,Muhammad Abbas,M,168,55
122,Nader Sufyan Abbas,M,173,77
123,Sohail Abbas,M,178,80
123,Sohail Abbas,M,178,80
123,Sohail Abbas,M,178,80
124,Youssef Mohamed Abbas,M,,
125,Zulkifli Abbas,M,170,62
126,Forough Abbasi,F,164,58
127,Shakeel Abbasi,M,165,60
127,Shakeel Abbasi,M,165,60
127,Shakeel Abbasi,M,165,60
128,Soulmaz Abbasi Azad,F,173,60
129,Ruslan Abbasov,M,181,74
130,Tural Abbasov,M,182,76
131,Tran Abbasova,F,159,53
132,Simona Abbate,F,171,64
133,Franz Abb,M,,
134,Christian Abbiati,M,192,90
135,Lois Abbingh,F,178,72
136,Alessandro Abbio,M,195,85
137,Giordano Giulio Abbondati,M,175,64
137,Giordano Giulio Abbondati,M,175,64
138,Salwan Jasim Abbood Abbood,M,180,104
139,George Ioannis Abbot,M,,
141,Clare Abbott,F,167,58
141,Clare Abbott,F,167,58
142,David Dave Abbott,M,183,75
143,Desmond Des Abbott,M,184,87
144,Geoffrey Grant Abbott,M,179,80
145,Jeremy Abbott,M,175,70
145,Jeremy Abbott,M,175,70
145,Jeremy Abbott,M,175,70
146,Jeremy Abbott,M,179,71
149,Mara Katherine Abbott,F,163,52
150,Margaret Ives Abbott (-Dunne),F,,
151,Mary Perkins Ives Abbott (Perkins-),F,,
153,Monica Cecilia Abbott,F,191,88
154,Khadija Abbouda,F,165,57
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98
156,Mahmoud Abd El-Kader,M,195,94
157,Mohamed Ibrahim Abd El-Salam,M,192,83
157,Mohamed Ibrahim Abd El-Salam,M,192,83
158,Noha Abd Rabo,F,,
159,Reem Wail Abdalazem Abdalazem El-Bossaty,F,167,60
159,Reem Wail Abdalazem Abdalazem El-Bossaty,F,167,60
