ID,Event,Year,Season,Medal,Age
1,Basketball Mens Basketball,1992,Summer,,24
2,Judo Mens Extra-Lightweight,2012,Summer,,23
3,Football Mens Football,1920,Summer,,24
4,Tug-Of-War Mens Tug-Of-War,1900,Summer,Gold,34
5,Speed Skating Womens 500 metres,1988,Winter,,21
5,Speed Skating Womens 1000 metres,1988,Winter,,21
5,Speed Skating Womens 500 metres,1992,Winter,,25
5,Speed Skating Womens 1000 metres,1992,Winter,,25
5,Speed Skating Womens 500 metres,1994,Winter,,27
5,Speed Skating Womens 1000 metres,1994,Winter,,27
6,Cross Country Skiing Mens 10 kilometres,1992,Winter,,31
6,Cross Country Skiing Mens 50 kilometres,1992,Winter,,31
6,Cross Country Skiing Mens 10/15 kilometres Pursuit,1992,Winter,,31
6,Cross Country Skiing Mens 4 x 10 kilometres Relay,1992,Winter,,31
6,Cross Country Skiing Mens 10 kilometres,1994,Winter,,33
6,Cross Country Skiing Mens 30 kilometres,1994,Winter,,33
6,Cross Country Skiing Mens 10/15 kilometres Pursuit,1994,Winter,,33
6,Cross Country Skiing Mens 4 x 10 kilometres Relay,1994,Winter,,33
7,Cross Country Skiing Mens 10 kilometres,1992,Winter,,31
7,Cross Country Skiing Mens 50 kilometres,1992,Winter,,31
7,Cross Country Skiing Mens 10/15 kilometres Pursuit,1992,Winter,,31
7,Cross Country Skiing Mens 4 x 10 kilometres Relay,1992,Winter,,31
7,Cross Country Skiing Mens 10 kilometres,1994,Winter,,33
7,Cross Country Skiing Mens 30 kilometres,1994,Winter,,33
7,Cross Country Skiing Mens 10/15 kilometres Pursuit,1994,Winter,,33
7,Cross Country Skiing Mens 4 x 10 kilometres Relay,1994,Winter,,33
8,Athletics Womens 100 metres,1932,Summer,,18
8,Athletics Womens 4 x 100 metres Relay,1932,Summer,,18
9,Ice Hockey Mens Ice Hockey,2002,Winter,,26
10,Swimming Mens 400 metres Freestyle,1952,Summer,,26
11,Cross Country Skiing Mens 30 kilometres,1980,Winter,,22
12,Badminton Mens Singles,2000,Summer,,31
14,Biathlon Womens 7.5 kilometres Sprint,1994,Winter,,32
15,Swimming Mens 200 metres Breaststroke,1912,Summer,,22
15,Swimming Mens 400 metres Breaststroke,1912,Summer,,22
15,Swimming Mens 200 metres Breaststroke,1920,Summer,Bronze,30
15,Swimming Mens 400 metres Breaststroke,1920,Summer,Bronze,30
15,Swimming Mens 200 metres Breaststroke,1924,Summer,,34
16,Ice Hockey Mens Ice Hockey,2014,Winter,Bronze,28
17,Gymnastics Mens Individual All-Around,1948,Summer,Bronze,28
17,Gymnastics Mens Team All-Around,1948,Summer,Gold,28
17,Gymnastics Mens Floor Exercise,1948,Summer,,28
17,Gymnastics Mens Horse Vault,1948,Summer,Gold,28
17,Gymnastics Mens Parallel Bars,1948,Summer,,28
17,Gymnastics Mens Horizontal Bar,1948,Summer,,28
17,Gymnastics Mens Rings,1948,Summer,,28
17,Gymnastics Mens Pommelled Horse,1948,Summer,Gold,28
17,Gymnastics Mens Individual All-Around,1952,Summer,,32
17,Gymnastics Mens Team All-Around,1952,Summer,Bronze,32
17,Gymnastics Mens Floor Exercise,1952,Summer,,32
17,Gymnastics Mens Horse Vault,1952,Summer,,32
17,Gymnastics Mens Parallel Bars,1952,Summer,,32
17,Gymnastics Mens Horizontal Bar,1952,Summer,,32
17,Gymnastics Mens Rings,1952,Summer,,32
17,Gymnastics Mens Pommelled Horse,1952,Summer,,32
18,Athletics Mens Shot Put,2000,Summer,,31
19,Art Competitions Mixed Sculpturing Unknown Event,1948,Summer,,54
20,Alpine Skiing Mens Downhill,1992,Winter,,20
20,Alpine Skiing Mens Super G,1992,Winter,Gold,20
20,Alpine Skiing Mens Giant Slalom,1992,Winter,Bronze,20
20,Alpine Skiing Mens Slalom,1992,Winter,,20
20,Alpine Skiing Mens Downhill,1994,Winter,Silver,22
20,Alpine Skiing Mens Super G,1994,Winter,Bronze,22
20,Alpine Skiing Mens Giant Slalom,1994,Winter,,22
20,Alpine Skiing Mens Slalom,1994,Winter,,22
20,Alpine Skiing Mens Combined,1994,Winter,Silver,22
20,Alpine Skiing Mens Downhill,1998,Winter,,26
20,Alpine Skiing Mens Super G,1998,Winter,,26
20,Alpine Skiing Mens Giant Slalom,1998,Winter,,26
20,Alpine Skiing Mens Combined,1998,Winter,,26
