Year,Season,City
1992,Summer,Barcelona
2012,Summer,London
1920,Summer,Antwerpen
1900,Summer,Paris
1988,Winter,Calgary
1988,Winter,Calgary
1992,Winter,Albertville
1992,Winter,Albertville
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1992,Winter,Albertville
1992,Winter,Albertville
1992,Winter,Albertville
1992,Winter,Albertville
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1992,Winter,Albertville
1992,Winter,Albertville
1992,Winter,Albertville
1992,Winter,Albertville
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1932,Summer,Los Angeles
1932,Summer,Los Angeles
2002,Winter,Salt Lake City
1952,Summer,Helsinki
1980,Winter,Lake Placid
2000,Summer,Sydney
1994,Winter,Lillehammer
1912,Summer,Stockholm
1912,Summer,Stockholm
1920,Summer,Antwerpen
1920,Summer,Antwerpen
1924,Summer,Paris
2014,Winter,Sochi
1948,Summer,London
1948,Summer,London
1948,Summer,London
1948,Summer,London
1948,Summer,London
1948,Summer,London
1948,Summer,London
1948,Summer,London
1952,Summer,Helsinki
1952,Summer,Helsinki
1952,Summer,Helsinki
1952,Summer,Helsinki
1952,Summer,Helsinki
1952,Summer,Helsinki
1952,Summer,Helsinki
1952,Summer,Helsinki
2000,Summer,Sydney
1948,Summer,London
1992,Winter,Albertville
1992,Winter,Albertville
1992,Winter,Albertville
1992,Winter,Albertville
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1994,Winter,Lillehammer
1998,Winter,Nagano
1998,Winter,Nagano
1998,Winter,Nagano
1998,Winter,Nagano
2002,Winter,Salt Lake City
2002,Winter,Salt Lake City
2002,Winter,Salt Lake City
2002,Winter,Salt Lake City
2002,Winter,Salt Lake City
2006,Winter,Torino
2006,Winter,Torino
2008,Summer,Beijing
2016,Summer,Rio de Janeiro
2000,Summer,Sydney
2004,Summer,Athina
1960,Winter,Squaw Valley
1960,Winter,Squaw Valley
1964,Winter,Innsbruck
1920,Summer,Antwerpen
1984,Winter,Sarajevo
1984,Summer,Los Angeles
1988,Summer,Seoul
1996,Summer,Atlanta
2000,Summer,Sydney
1936,Summer,Berlin
1912,Summer,Stockholm
2012,Summer,London
1998,Winter,Nagano
1996,Summer,Atlanta
1996,Summer,Atlanta
1996,Summer,Atlanta
2000,Summer,Sydney
2000,Summer,Sydney
1996,Summer,Atlanta
1920,Summer,Antwerpen
1912,Summer,Stockholm
1912,Summer,Stockholm
1912,Summer,Stockholm
1952,Winter,Oslo
